GENE	S_alburnoides%Sq_AA_rep1	S_alburnoides%Sq_AA_rep2	S_alburnoides_allo%Sq_PAA_rep1	S_alburnoides_allo%Sq_PAA_rep2	S_pyrenaicus%Sq_PP_rep1	S_pyrenaicus%Sq_PP_rep2
CVRK01012203.1	400	354	66	53	39	38
CVRK01012204.1	89	96	98	92	148	149
CVRK01012205.1	149	144	241	227	85	81
CVRK01012206.1	29	29	22	21	6	10
CVRK01012207.1	1	0	0	0	0	0
CVRK01012208.1	7	7	0	0	0	0
CVRK01012209.1	259	251	63	52	6	6
CVRK01012210.1	1279	1236	88	81	10	8
CVRK01012211.1	3	3	0	0	0	0
CVRK01012212.1	4618	4482	3493	3457	984	973
CVRK01012213.1	112	108	54	51	24	30
CVRK01012214.1	5	4	0	0	0	0
CVRK01012215.1	167	149	48	43	30	32
CVRK01012216.1	121	120	73	74	12	11
CVRK01012217.1	4	4	0	0	0	0
CVRK01012218.1	0	0	1	1	0	0
CVRK01012219.1	55	56	18	19	18	15
CVRK01012220.1	778	754	327	332	2151	2076
CVRK01012221.1	231	224	31	35	17	17
CVRK01012222.1	37	38	4	3	1	1
CVRK01012223.1	38	35	23	26	24	31
CVRK01012224.1	27	25	3	3	7	7
CVRK01012225.1	196	199	65	56	23	15
CVRK01012226.1	109	108	43	43	26	28
CVRK01012227.1	0	0	14	12	5	8
CVRK01012228.1	202	199	166	150	45	43
CVRK01012229.1	261	256	372	364	163	155
CVRK01012230.1	177	167	276	264	51	54
CVRK01012231.1	0	0	0	0	0	0
CVRK01012232.1	27	26	20	20	4	4
CVRK01012233.1	113	127	115	125	41	54
CVRK01012235.1	304	274	328	350	92	80
CVRK01012236.1	11	7	6	8	2	0
CVRK01012237.1	323	312	492	481	357	334
CVRK01012238.1	174	170	31	32	5	10
CVRK01012239.1	2	1	1	1	0	0
CVRK01012240.1	2	1	0	0	0	0
CVRK01012241.1	22	21	23	18	13	13
CVRK01012242.1	2	1	6	0	0	1
CVRK01012243.1	0	0	1	0	1	0
CVRK01012245.1	88	82	93	88	11	11
CVRK01012246.1	111	117	58	61	59	56
CVRK01012247.1	15	12	16	13	9	5
CVRK01012248.1	152	152	114	112	72	75
CVRK01012249.1	164	166	94	81	28	32
CVRK01012250.1	1113	1080	105	95	84	75
CVRK01012251.1	9	14	16	21	0	1
CVRK01012252.1	15	19	2	1	1	1
CVRK01012254.1	7	6	2	2	0	0
CVRK01012255.1	2	2	0	0	0	0
CVRK01012256.1	162	153	49	45	24	23
CVRK01012257.1	0	0	0	0	0	0
CVRK01012258.1	11	4	2	1	1	0
CVRK01012259.1	4137	4129	1944	1907	584	577
CVRK01012260.1	0	0	0	0	0	0
CVRK01012261.1	0	0	0	0	0	0
CVRK01012262.1	263	246	458	477	248	252
CVRK01012263.1	9	6	0	1	0	0
CVRK01012264.1	39	39	10	9	2	2
CVRK01012265.1	12	12	10	14	7	8
CVRK01012266.1	1	1	1	1	0	0
CVRK01012267.1	0	0	0	0	0	0
CVRK01012268.1	1	0	0	0	0	0
CVRK01012269.1	9	4	91	77	51	37
CVRK01012270.1	112	122	13	10	9	6
CVRK01012271.1	110	99	7	11	13	18
CVRK01012272.1	1071	1088	116	151	123	118
CVRK01012273.1	118	119	39	36	6	6
CVRK01012274.1	5	3	1	0	0	0
CVRK01012275.1	6	2	4	3	0	0
CVRK01012276.1	7	7	0	0	0	0
CVRK01012277.1	232	197	687	677	1891	1756
CVRK01012278.1	2	2	81	78	167	155
CVRK01012279.1	0	0	0	0	0	0
CVRK01012280.1	16	11	0	1	1	2
CVRK01012281.1	71	72	106	100	99	96
CVRK01012282.1	10	9	2	1	0	2
CVRK01012283.1	0	0	4	4	8	10
CVRK01012284.1	2	1	0	0	0	0
CVRK01012285.1	323	320	134	130	93	95
CVRK01012286.1	5110	4950	768	755	638	607
CVRK01012288.1	0	0	0	0	0	0
CVRK01012289.1	5	4	2	2	1	0
CVRK01012290.1	5	5	5	5	0	1
CVRK01012291.1	42	22	44	35	70	80
CVRK01012292.1	1	2	3	2	1	1
CVRK01012293.1	633	628	2388	2344	361	352
CVRK01012294.1	8	10	1	1	0	0
CVRK01012295.1	3	2	0	0	0	1
CVRK01012296.1	517	505	384	380	176	174
CVRK01012297.1	2048	2011	2345	2247	2445	2381
CVRK01012298.1	0	0	0	0	0	0
CVRK01012299.1	1	1	2	1	3	3
CVRK01012300.1	7	7	1	1	0	0
CVRK01012301.1	34	38	8	12	1	3
CVRK01012302.1	0	1	0	1	1	0
CVRK01012303.1	1	1	0	0	0	0
CVRK01012304.1	65	68	18	24	9	12
CVRK01012305.1	26	32	26	21	11	7
CVRK01012306.1	237	225	1	1	0	0
CVRK01012307.1	16	15	38	38	19	19
CVRK01012308.1	64	63	13	11	0	0
CVRK01012309.1	21	21	24	22	4	2
CVRK01012310.1	29	28	2	2	3	3
CVRK01012311.1	429	406	146	127	89	84
CVRK01012312.1	43	34	63	70	9	8
CVRK01012313.1	59	63	20	20	24	18
CVRK01012314.1	158	159	56	51	9	7
CVRK01012315.1	83	81	36	32	36	35
CVRK01012316.1	232	206	2042	1786	32	15
CVRK01012317.1	2	2	6	5	4	3
CVRK01012318.1	9	11	0	0	1	1
CVRK01012319.1	13	11	16	8	2	2
CVRK01012320.1	1	2	2	1	1	0
CVRK01012321.1	57	53	49	53	18	30
CVRK01012322.1	11	10	5	8	1	5
CVRK01012323.1	3	5	7	14	20	14
CVRK01012324.1	21	20	11	10	6	4
CVRK01012325.1	56	59	62	60	75	76
CVRK01012326.1	8	10	2	3	2	3
CVRK01012327.1	66	64	0	0	0	0
CVRK01012328.1	187	184	0	0	2	2
CVRK01012329.1	0	0	0	0	0	0
CVRK01012330.1	7	5	7	5	1	1
CVRK01012331.1	40	40	20	17	3	2
CVRK01012332.1	174	160	34	31	21	19
CVRK01012333.1	151	137	110	98	0	0
CVRK01012334.1	93	78	34	34	97	95
CVRK01012335.1	13	28	4	4	5	2
CVRK01012336.1	2	0	1	1	0	1
CVRK01012337.1	4	6	1	2	0	0
CVRK01012338.1	3	3	0	0	0	0
CVRK01012339.1	173	171	102	107	14	14
CVRK01012340.1	820	803	534	510	415	395
CVRK01012341.1	0	0	3	1	1	1
CVRK01012342.1	39	41	2	2	0	0
CVRK01012343.1	0	0	0	0	0	0
CVRK01012344.1	0	0	0	0	0	0
CVRK01012345.1	293	294	605	572	359	341
CVRK01012346.1	48	46	12	11	5	4
CVRK01012347.1	0	1	0	2	0	0
CVRK01012348.1	0	0	0	0	0	0
CVRK01012349.1	1	1	0	0	0	0
CVRK01012350.1	206	189	104	103	12	14
CVRK01012351.1	107	105	46	43	12	11
CVRK01012352.1	111	103	68	65	28	27
CVRK01012353.1	55	53	36	31	4	5
CVRK01012355.1	7	13	0	0	1	2
CVRK01012356.1	0	0	0	0	0	0
CVRK01012357.1	1092	1062	2210	2167	338	344
CVRK01012358.1	916	863	159	147	46	44
CVRK01012359.1	907	917	141	154	46	44
CVRK01012360.1	0	0	0	0	0	0
CVRK01012361.1	203	189	212	214	126	113
CVRK01012362.1	52	45	1	2	3	6
CVRK01012363.1	0	0	0	0	0	0
CVRK01012364.1	2	3	1	1	11	11
CVRK01012365.1	13	15	4	3	0	0
CVRK01012366.1	12	19	12	5	1	2
CVRK01012367.1	0	0	0	0	0	0
CVRK01012368.1	466	431	612	614	237	220
CVRK01012369.1	0	1	2	2	0	0
CVRK01012370.1	2	2	0	0	0	0
CVRK01012371.1	5	3	1	0	0	0
CVRK01012372.1	63	61	6	4	1	1
CVRK01012373.1	31	26	43	49	19	10
CVRK01012374.1	322	304	213	203	123	125
CVRK01012375.1	102	101	27	26	4	5
CVRK01012376.1	2	1	0	0	0	0
CVRK01012377.1	16	12	10	13	11	13
CVRK01012378.1	956	903	1341	1276	285	269
CVRK01012380.1	30	33	39	31	17	12
CVRK01012381.1	6	6	8	8	14	28
CVRK01012382.1	2	3	0	0	0	0
CVRK01012383.1	240	253	39	38	23	23
CVRK01012386.1	7	7	1	1	0	0
CVRK01012387.1	311	291	123	124	74	69
CVRK01012388.1	0	2	0	0	0	0
CVRK01012389.1	113	113	49	49	10	8
CVRK01012390.1	16	11	13	9	0	0
CVRK01012391.1	0	0	0	0	0	0
CVRK01012392.1	4532	4306	289	278	492	477
CVRK01012393.1	49	52	4	4	6	3
CVRK01012394.1	303	294	174	168	41	39
CVRK01012395.1	37	38	240	245	752	725
CVRK01012396.1	4	4	3	4	0	0
CVRK01012397.1	0	0	0	0	0	0
CVRK01012398.1	9	3	14	17	3	2
CVRK01012399.1	1	2	0	0	1	3
CVRK01012400.1	1059	1047	281	274	83	78
CVRK01012401.1	202	200	268	252	160	155
CVRK01012402.1	0	0	0	0	0	0
CVRK01012403.1	0	0	0	0	0	0
CVRK01012404.1	220	215	103	109	106	104
CVRK01012405.1	0	0	0	0	0	0
CVRK01012406.1	316	303	36	36	41	48
CVRK01012407.1	0	0	0	0	0	0
CVRK01012408.1	4	1	0	0	0	0
CVRK01012409.1	307	297	199	192	191	188
CVRK01012410.1	65	60	58	47	40	39
CVRK01012411.1	0	0	10	7	5	2
CVRK01012412.1	0	0	0	0	2	0
CVRK01012413.1	4	4	1	1	0	1
CVRK01012414.1	11	13	0	0	0	0
CVRK01012415.1	0	1	0	0	0	0
CVRK01012416.1	23	15	91	56	25	35
CVRK01012417.1	0	0	0	0	0	0
CVRK01012418.1	18	16	10	11	3	3
CVRK01012419.1	3	2	11	7	14	18
CVRK01012420.1	9	3	16	8	14	15
CVRK01012421.1	5	3	0	0	0	0
CVRK01012422.1	0	0	0	0	0	0
CVRK01012423.1	3	2	0	0	0	0
CVRK01012424.1	0	0	0	0	0	0
CVRK01012425.1	127	123	178	175	3	2
CVRK01012426.1	62	60	7	5	0	0
CVRK01012428.1	5	4	0	1	0	0
CVRK01012429.1	158	147	408	405	89	86
CVRK01012430.1	106	99	20	26	5	7
CVRK01012431.1	53	45	35	27	12	8
CVRK01012432.1	0	0	0	0	0	0
CVRK01012433.1	6	1	3	7	0	0
CVRK01012434.1	4	7	8	13	2	0
CVRK01012436.1	575	570	48	46	21	17
CVRK01012437.1	3	6	1	1	0	0
CVRK01012438.1	44	46	23	23	5	2
CVRK01012439.1	0	0	0	0	0	0
CVRK01012440.1	171	159	63	62	11	13
CVRK01012441.1	13	16	7	8	3	3
CVRK01012442.1	40	35	53	67	1	0
CVRK01012443.1	0	0	0	0	0	0
CVRK01012444.1	184	186	82	80	48	47
CVRK01012445.1	362	349	235	227	136	136
CVRK01012446.1	1523	1329	8518	8015	5396	5506
CVRK01012447.1	3	4	0	0	0	0
CVRK01012448.1	377	385	154	148	111	107
CVRK01012449.1	371	377	124	129	41	58
CVRK01012450.1	133	128	124	117	76	73
CVRK01012452.1	7	11	19	24	13	16
CVRK01012453.1	262	256	42	44	33	33
CVRK01012454.1	0	0	0	0	0	0
CVRK01012455.1	22	23	11	12	12	12
CVRK01012456.1	15	23	10	12	9	4
CVRK01012457.1	166	183	49	45	45	40
CVRK01012458.1	16	14	0	0	0	0
CVRK01012459.1	337	325	100	107	69	70
CVRK01012460.1	351	348	135	127	99	85
CVRK01012461.1	2	2	0	0	1	2
CVRK01012462.1	11	10	4	5	3	4
CVRK01012463.1	5	8	0	0	0	0
CVRK01012464.1	3	1	22	22	15	14
CVRK01012465.1	72	71	29	30	5	4
CVRK01012466.1	30	17	41	24	6	9
CVRK01012467.1	13	13	16	9	12	16
CVRK01012468.1	21	22	16	18	19	16
CVRK01012469.1	13	14	5	7	2	2
CVRK01012470.1	16	22	2	0	6	1
CVRK01012471.1	4	3	0	0	1	0
CVRK01012472.1	1	1	0	0	0	0
CVRK01012473.1	26	30	49	47	45	49
CVRK01012474.1	990	965	317	307	196	192
CVRK01012475.1	134	129	2	3	0	0
CVRK01012476.1	0	1	0	0	0	0
CVRK01012477.1	1	0	1	0	0	0
CVRK01012478.1	171	171	55	42	25	27
CVRK01012479.1	320	311	661	636	409	392
CVRK01012480.1	0	0	0	0	0	0
CVRK01012481.1	50	41	27	19	24	22
CVRK01012482.1	624	574	163	157	66	67
CVRK01012483.1	102	99	20	20	2	1
CVRK01012484.1	2	0	0	0	0	0
CVRK01012485.1	163	160	172	171	70	73
CVRK01012486.1	1	1	2	2	0	0
CVRK01012487.1	3	1	0	0	0	0
CVRK01012488.1	0	0	0	0	0	0
CVRK01012489.1	25	28	57	58	22	22
CVRK01012490.1	249	257	437	449	198	155
CVRK01012491.1	1089	1031	302	285	161	163
CVRK01012492.1	51	57	154	154	10	12
CVRK01012493.1	25	26	11	6	1	0
CVRK01012494.1	295	292	161	177	71	48
CVRK01012495.1	6	4	5	9	0	0
CVRK01012496.1	2	1	0	1	0	0
CVRK01012497.1	0	0	0	0	0	1
CVRK01012498.1	355	342	499	479	510	540
CVRK01012499.1	51	40	31	29	9	17
CVRK01012500.1	23	14	21	17	26	35
CVRK01012501.1	77	81	143	145	182	167
CVRK01012502.1	0	0	4	1	0	0
CVRK01012503.1	1	0	0	0	0	0
CVRK01012504.1	19	14	30	20	13	9
CVRK01012505.1	0	0	0	0	0	0
CVRK01012506.1	34	31	16	16	8	7
CVRK01012507.1	3	2	13	14	3	1
CVRK01012508.1	0	1	0	0	0	0
CVRK01012509.1	2	4	0	1	0	0
CVRK01012510.1	2	1	0	0	0	0
CVRK01012511.1	29	30	6	6	0	0
CVRK01012512.1	8	7	5	5	0	1
CVRK01012513.1	0	0	0	0	0	0
CVRK01012514.1	143	143	643	622	230	245
CVRK01012515.1	5	10	1	0	2	0
CVRK01012516.1	26	28	3	2	0	1
CVRK01012517.1	1	1	1	3	0	0
CVRK01012518.1	29	54	2	3	0	0
CVRK01012519.1	264	285	173	166	73	66
CVRK01012520.1	0	0	0	0	0	0
CVRK01012521.1	8	12	3	2	0	0
CVRK01012522.1	5	3	8	12	5	6
CVRK01012523.1	86	95	38	35	101	104
CVRK01012524.1	457	467	68	55	15	13
CVRK01012525.1	13	11	6	6	0	0
CVRK01012526.1	17	17	18	7	7	8
CVRK01012527.1	146	150	33	42	8	6
CVRK01012528.1	1	1	0	0	0	0
CVRK01012529.1	1	0	1	3	1	0
CVRK01012530.1	0	0	0	1	0	0
CVRK01012531.1	2	1	1	1	0	0
CVRK01012532.1	1	1	0	0	0	0
CVRK01012533.1	18	19	19	23	11	8
CVRK01012534.1	0	0	0	0	0	0
CVRK01012535.1	17	17	0	0	0	0
CVRK01012536.1	1	1	2	3	0	1
CVRK01012537.1	112	99	177	163	74	68
CVRK01012538.1	4	5	4	9	0	1
CVRK01012539.1	943	907	4	3	1	1
CVRK01012540.1	41	51	61	64	7	8
CVRK01012541.1	46	46	38	38	7	5
CVRK01012542.1	10	14	7	8	3	7
CVRK01012543.1	0	0	0	0	0	0
CVRK01012544.1	0	1	1	5	0	0
CVRK01012545.1	0	2	0	0	0	0
CVRK01012546.1	0	0	0	1	0	0
CVRK01012547.1	2	1	0	0	0	0
CVRK01012548.1	11	10	1	2	1	0
CVRK01012549.1	63	57	45	51	21	19
CVRK01012550.1	6	6	5	2	7	7
CVRK01012551.1	108	113	97	101	35	39
CVRK01012552.1	18	14	19	15	8	2
CVRK01012553.1	774	751	93	85	27	25
CVRK01012554.1	372	371	208	207	106	104
CVRK01012555.1	110	107	8	9	4	3
CVRK01012556.1	97	101	26	21	3	2
CVRK01012557.1	131	126	52	47	18	25
CVRK01012558.1	433	418	219	202	108	118
CVRK01012559.1	6	5	2	4	3	1
CVRK01012560.1	0	1	0	0	0	0
CVRK01012561.1	91	91	158	149	119	110
CVRK01012562.1	1	1	0	0	0	0
CVRK01012563.1	0	0	1	1	1	2
CVRK01012564.1	3	8	11	13	7	9
CVRK01012565.1	8	7	1	2	0	0
CVRK01012566.1	0	0	0	0	0	0
CVRK01012567.1	54	46	38	26	14	12
CVRK01012568.1	0	0	0	1	0	0
CVRK01012569.1	80	81	68	63	52	56
CVRK01012570.1	1354	1306	1367	1349	341	306
CVRK01012571.1	1	2	0	1	0	0
CVRK01012572.1	28	19	2	2	1	1
CVRK01012573.1	7	6	1	1	0	0
CVRK01012574.1	159	154	527	525	736	689
CVRK01012575.1	2	0	0	0	0	0
CVRK01012576.1	4	1	0	0	0	0
CVRK01012577.1	13	14	12	11	4	3
CVRK01012578.1	0	0	0	0	0	0
CVRK01012579.1	1	0	0	0	3	2
CVRK01012580.1	0	0	0	0	2	1
CVRK01012581.1	14	11	14	24	6	6
CVRK01012582.1	4	3	5	7	0	1
CVRK01012583.1	93	88	45	51	28	26
CVRK01012584.1	1	0	1	1	0	0
CVRK01012585.1	157	150	219	213	152	147
CVRK01012586.1	0	0	0	0	0	0
CVRK01012587.1	287	264	1053	1014	12	12
CVRK01012588.1	237	230	131	131	57	59
CVRK01012589.1	268	262	149	144	86	79
CVRK01012590.1	4	5	42	43	182	172
CVRK01012591.1	1004	966	338	311	121	116
CVRK01012592.1	94	90	453	447	144	144
CVRK01012593.1	19	23	19	18	14	15
CVRK01012594.1	264	262	348	332	182	179
CVRK01012595.1	994	975	526	512	218	220
CVRK01012596.1	92	87	87	84	43	47
CVRK01012597.1	3	1	1	1	0	0
CVRK01012598.1	8	16	7	8	1	0
CVRK01012599.1	15	7	2	1	1	1
CVRK01012600.1	0	0	0	0	0	0
CVRK01012601.1	8	7	5	5	1	1
CVRK01012602.1	208	199	125	128	61	54
CVRK01012603.1	15	39	14	16	2	1
CVRK01012604.1	19	18	6	7	16	14
CVRK01012605.1	43	45	7	8	3	3
CVRK01012606.1	0	0	0	0	1	2
CVRK01012607.1	77	73	95	89	75	75
CVRK01012608.1	0	0	1	0	0	0
CVRK01012609.1	333	333	81	71	31	29
CVRK01012610.1	2	5	2	2	0	0
CVRK01012611.1	4	4	3	2	1	0
CVRK01012612.1	0	0	0	0	0	0
CVRK01012613.1	3	3	31	31	32	36
CVRK01012614.1	2	1	0	0	0	0
CVRK01012615.1	15	14	0	1	0	0
CVRK01012616.1	1	1	1	1	0	0
CVRK01012617.1	156	153	105	107	25	29
CVRK01012618.1	25	26	40	29	10	13
CVRK01012619.1	14	10	9	5	14	12
CVRK01012620.1	24	39	15	12	8	12
CVRK01012621.1	0	0	0	0	0	0
CVRK01012622.1	0	0	0	0	0	0
CVRK01012623.1	424	409	191	195	94	84
CVRK01012624.1	0	0	0	0	0	0
CVRK01012625.1	1319	1282	352	344	378	354
CVRK01012626.1	0	0	0	0	0	0
CVRK01012627.1	29	33	32	36	15	11
CVRK01012628.1	134	133	13	17	38	33
CVRK01012629.1	1	0	0	0	0	0
CVRK01012630.1	0	1	0	0	9	5
CVRK01012631.1	7	5	0	0	0	0
CVRK01012632.1	291	291	190	175	213	209
CVRK01012633.1	0	0	4	8	0	0
CVRK01012634.1	0	0	8	5	0	0
CVRK01012635.1	7	7	163	148	1	3
CVRK01012636.1	12	13	33	37	21	23
CVRK01012637.1	1697	1681	96	93	51	54
CVRK01012638.1	1	1	2	5	1	0
CVRK01012639.1	219	207	159	160	88	91
CVRK01012640.1	54	51	71	80	40	45
CVRK01012641.1	441	419	7	7	0	0
CVRK01012642.1	1	1	0	0	0	0
CVRK01012643.1	155	147	200	207	145	138
CVRK01012644.1	75	82	77	73	55	54
CVRK01012645.1	10	17	7	7	8	11
CVRK01012646.1	8	5	5	2	1	1
CVRK01012647.1	128	116	113	105	74	66
CVRK01012648.1	41	57	110	130	29	28
CVRK01012649.1	2	2	0	0	0	0
CVRK01012650.1	0	0	0	0	0	0
CVRK01012652.1	3	2	0	0	0	0
CVRK01012653.1	1	0	0	0	0	0
CVRK01012654.1	210	202	141	137	47	47
CVRK01012655.1	7	7	8	10	4	3
CVRK01012656.1	27	26	25	23	28	23
CVRK01012657.1	12	10	3	4	2	2
CVRK01012658.1	119	115	70	74	28	25
CVRK01012659.1	14	13	17	12	3	2
CVRK01012660.1	0	0	0	0	0	0
CVRK01012661.1	684	665	1320	1275	265	251
CVRK01012662.1	57	60	8	12	0	1
CVRK01012663.1	15	15	1	0	0	0
CVRK01012664.1	1	2	0	1	0	0
CVRK01012665.1	6	7	1	1	0	0
CVRK01012666.1	4517	4345	1307	1273	569	547
CVRK01012667.1	0	0	0	0	0	0
CVRK01012668.1	0	0	0	0	0	0
CVRK01012669.1	2	1	5	6	1	1
CVRK01012670.1	0	0	0	0	0	1
CVRK01012671.1	3	2	3	3	0	0
CVRK01012672.1	45	42	35	32	18	18
CVRK01012673.1	422	419	122	126	43	44
CVRK01012674.1	22	23	6	3	7	4
CVRK01012675.1	0	0	0	0	0	0
CVRK01012676.1	13	8	6	4	0	0
CVRK01012677.1	590	621	196	206	186	175
CVRK01012678.1	64	70	11	13	19	14
CVRK01012679.1	0	0	0	0	0	0
CVRK01012680.1	4	5	3	5	3	2
CVRK01012681.1	30	30	3	3	2	1
CVRK01012682.1	10	12	3	5	0	0
CVRK01012683.1	140	138	146	139	150	144
CVRK01012684.1	5	3	8	6	7	4
CVRK01012685.1	0	0	0	0	0	0
CVRK01012686.1	0	0	13	6	0	0
CVRK01012687.1	88	87	26	41	19	16
CVRK01012688.1	11	14	6	3	5	5
CVRK01012689.1	1	1	1	1	3	3
CVRK01012690.1	0	0	0	0	0	0
CVRK01012691.1	109	108	0	0	0	0
CVRK01012692.1	9	4	17	23	3	2
CVRK01012693.1	78	65	34	27	24	27
CVRK01012694.1	19	21	31	28	6	11
CVRK01012695.1	28	42	15	12	7	4
CVRK01012696.1	54	39	172	172	84	84
CVRK01012697.1	4	4	0	0	0	0
CVRK01012698.1	6	7	2	2	0	0
CVRK01012699.1	42	44	8	5	1	2
CVRK01012700.1	41	33	149	143	35	31
CVRK01012701.1	16	17	30	23	13	11
CVRK01012702.1	147	145	0	0	0	0
CVRK01012703.1	0	0	1	0	0	0
CVRK01012704.1	9	6	6	6	7	6
CVRK01012705.1	3	5	2	1	0	0
CVRK01012706.1	4	5	2	0	1	0
CVRK01012707.1	0	0	0	0	0	0
CVRK01012708.1	1	1	0	0	0	0
CVRK01012709.1	885	880	287	297	116	121
CVRK01012710.1	14	18	16	16	7	7
CVRK01012711.1	422	417	140	135	85	81
CVRK01012712.1	0	0	0	0	0	0
CVRK01012713.1	1	1	0	0	1	0
CVRK01012714.1	830	851	425	413	151	165
CVRK01012715.1	1	0	0	0	0	0
CVRK01012716.1	59	51	47	43	3	3
CVRK01012717.1	9	10	5	3	1	1
CVRK01012718.1	87	96	43	33	8	7
CVRK01012719.1	33	35	12	13	48	44
CVRK01012720.1	2	3	1	0	0	1
CVRK01012721.1	4	5	2	2	0	4
CVRK01012722.1	3	1	1	0	1	0
CVRK01012723.1	2	1	18	15	5	7
CVRK01012724.1	4	5	0	0	1	0
CVRK01012725.1	26	21	5	11	3	3
CVRK01012726.1	341	326	131	135	64	63
CVRK01012727.1	1	0	5	5	0	0
CVRK01012728.1	32	25	140	137	28	25
CVRK01012729.1	48	43	359	363	65	69
CVRK01012730.1	1	0	0	0	0	0
CVRK01012731.1	58	52	159	144	140	131
CVRK01012732.1	4	4	0	0	0	0
CVRK01012733.1	1130	1105	44	52	9	11
CVRK01012734.1	4	5	1	3	0	1
CVRK01012735.1	319	265	287	271	161	131
CVRK01012736.1	0	0	0	0	0	0
CVRK01012737.1	25	18	19	22	31	24
CVRK01012738.1	94	102	15	18	7	11
CVRK01012739.1	366	368	30	34	9	10
CVRK01012740.1	1	0	6	5	3	2
CVRK01012741.1	6	6	3	2	0	1
CVRK01012742.1	30	24	0	0	0	0
CVRK01012743.1	53	50	12	11	2	2
CVRK01012744.1	11	9	15	16	16	12
CVRK01012745.1	1	0	2	2	0	0
CVRK01012746.1	4	4	8	6	3	2
CVRK01012747.1	359	354	185	177	175	168
CVRK01012748.1	3	3	3	2	0	0
CVRK01012749.1	24	22	5	3	0	0
CVRK01012750.1	3	3	0	1	2	2
CVRK01012751.1	72	58	16	22	15	15
CVRK01012752.1	6	6	29	33	1	0
CVRK01012753.1	3	2	1	1	0	0
CVRK01012754.1	3	2	0	0	0	1
CVRK01012755.1	0	0	0	0	0	0
CVRK01012756.1	16	18	17	15	7	2
CVRK01012757.1	79	83	29	30	10	10
CVRK01012758.1	2	2	2	2	0	0
CVRK01012759.1	0	0	0	0	1	0
CVRK01012760.1	289	279	148	150	71	72
CVRK01012761.1	1	1	0	0	0	0
CVRK01012762.1	90	92	48	42	6	12
CVRK01012763.1	7	6	3	5	2	1
CVRK01012764.1	1	1	0	0	0	0
CVRK01012765.1	1	1	0	0	0	0
CVRK01012766.1	230	226	394	381	155	149
CVRK01012767.1	17	15	2	2	0	0
CVRK01012768.1	9	13	9	7	4	4
CVRK01012769.1	703	676	340	327	146	142
CVRK01012770.1	10	9	6	9	4	1
CVRK01012772.1	901	897	154	156	51	56
CVRK01012773.1	1001	958	394	370	179	173
CVRK01012774.1	12	10	0	0	0	0
CVRK01012775.1	1	0	0	0	0	0
CVRK01012776.1	189	177	193	194	174	156
CVRK01012777.1	0	0	0	0	0	1
CVRK01012778.1	6	5	0	2	2	1
CVRK01012779.1	653	663	173	164	27	27
CVRK01012780.1	5	12	3	3	1	2
CVRK01012781.1	0	0	0	0	0	0
CVRK01012782.1	0	0	41	41	2	1
CVRK01012783.1	0	0	0	0	0	0
CVRK01012784.1	41	33	22	20	10	11
CVRK01012785.1	144	141	245	225	97	91
CVRK01012786.1	1	1	0	0	0	0
CVRK01012787.1	1835	1707	2340	2276	578	563
CVRK01012788.1	281	264	0	0	0	0
CVRK01012789.1	24	25	35	35	53	52
CVRK01012790.1	0	0	0	1	0	0
CVRK01012791.1	2	4	1	1	0	0
CVRK01012792.1	0	0	0	0	0	0
CVRK01012793.1	43	40	25	23	22	23
CVRK01012794.1	1	1	0	0	0	0
CVRK01012795.1	6	6	3	3	7	7
CVRK01012796.1	0	0	0	0	0	0
CVRK01012797.1	229	226	119	117	159	147
CVRK01012798.1	10	8	10	9	11	9
CVRK01012799.1	35	18	2	2	0	0
CVRK01012800.1	1510	1445	789	758	161	156
CVRK01012801.1	31	34	24	20	5	8
CVRK01012802.1	162	129	40	52	65	53
CVRK01012803.1	4230	4082	373	357	681	649
CVRK01012804.1	0	0	0	0	0	0
CVRK01012805.1	12	23	85	86	1	6
CVRK01012806.1	40	38	10	13	5	6
CVRK01012807.1	0	0	0	0	0	0
CVRK01012808.1	0	0	0	0	0	0
CVRK01012809.1	0	0	15	9	2	5
CVRK01012810.1	0	0	0	0	0	0
CVRK01012811.1	1	2	0	0	0	2
CVRK01012813.1	103	100	21	18	13	13
CVRK01012814.1	2	2	0	0	0	0
CVRK01012815.1	71	65	40	40	34	39
CVRK01012816.1	27	30	18	10	24	24
CVRK01012817.1	10	8	10	9	2	4
CVRK01012818.1	316	306	337	327	102	113
CVRK01012819.1	0	0	0	0	0	0
CVRK01012820.1	48	44	6	6	3	2
CVRK01012821.1	33	26	15	18	21	13
CVRK01012822.1	10	15	5	5	2	7
CVRK01012823.1	0	0	0	0	0	0
CVRK01012824.1	393	386	624	630	355	360
CVRK01012825.1	43	40	25	38	18	14
CVRK01012826.1	189	179	115	108	53	53
CVRK01012827.1	6	10	0	1	1	2
CVRK01012828.1	149	136	100	89	844	807
CVRK01012829.1	13	6	11	12	18	23
CVRK01012830.1	196	194	133	129	135	138
CVRK01012831.1	28	26	7	8	3	4
CVRK01012832.1	33	31	8	11	1	1
CVRK01012833.1	61	68	33	30	0	1
CVRK01012834.1	106	105	22	20	109	112
CVRK01012835.1	0	0	0	1	0	0
CVRK01012836.1	504	481	63	56	26	28
CVRK01012838.1	0	0	0	0	0	0
CVRK01012839.1	50	44	15	10	8	5
CVRK01012840.1	218	208	48	45	17	21
CVRK01012841.1	3	3	0	0	0	0
CVRK01012842.1	50	35	34	46	22	28
CVRK01012843.1	2	0	1	0	1	0
CVRK01012844.1	13	12	3	5	0	1
