GENE	S_alburnoides%Sq_AA_rep1	S_alburnoides%Sq_AA_rep2	S_alburnoides_allo%Sq_PAA_rep1	S_alburnoides_allo%Sq_PAA_rep2	S_pyrenaicus%Sq_PP_rep1	S_pyrenaicus%Sq_PP_rep2
CVRK01000141.1	458	439	152	143	117	105
CVRK01000142.1	2	4	2	1	0	0
CVRK01000143.1	5	5	1	1	0	0
CVRK01000144.1	0	0	0	0	1	0
CVRK01000145.1	617	606	231	232	112	113
CVRK01000147.1	25	31	7	8	2	2
CVRK01000148.1	22	29	14	15	14	8
CVRK01000149.1	14	13	19	17	1	1
CVRK01000150.1	0	0	0	1	0	0
CVRK01000151.1	17	15	8	8	2	2
CVRK01000152.1	0	0	0	0	0	0
CVRK01000153.1	1	0	0	0	0	0
CVRK01000154.1	9	11	3	3	24	25
CVRK01000155.1	0	0	0	0	0	0
CVRK01000156.1	1156	1124	6074	5909	2166	2128
CVRK01000157.1	0	1	0	0	0	0
CVRK01000158.1	20	22	44	44	8	13
CVRK01000159.1	37	39	4	5	1	1
CVRK01000160.1	0	0	0	0	0	0
CVRK01000161.1	2	4	0	0	0	0
CVRK01000162.1	2	3	0	0	0	0
CVRK01000163.1	24	21	22	23	8	6
CVRK01000164.1	0	0	2	2	1	1
CVRK01000165.1	54	55	22	22	4	4
CVRK01000166.1	1	1	0	0	0	0
CVRK01000167.1	88	85	10	9	0	0
CVRK01000168.1	433	414	83	83	31	32
CVRK01000169.1	3	3	2	2	0	0
CVRK01000170.1	61	63	293	283	251	234
CVRK01000171.1	40	38	11	11	9	8
CVRK01000172.1	0	0	0	0	0	0
CVRK01000173.1	5	7	4	4	2	2
CVRK01000174.1	378	372	106	93	71	61
CVRK01000175.1	29	27	119	127	18	13
CVRK01000176.1	2	3	6	6	1	0
CVRK01000177.1	3	2	0	0	0	0
CVRK01000178.1	135	129	63	67	59	60
CVRK01000179.1	7	5	2	0	0	0
CVRK01000180.1	144	137	222	214	103	99
CVRK01000181.1	3	3	0	0	0	0
CVRK01000182.1	24	23	11	12	0	0
CVRK01000183.1	33	31	3	3	1	1
CVRK01000184.1	5	7	3	2	2	3
CVRK01000185.1	19	19	9	8	0	0
CVRK01000186.1	0	0	0	0	0	0
CVRK01000187.1	0	0	0	0	0	0
CVRK01000188.1	102	86	31	29	13	13
CVRK01000189.1	0	0	0	0	0	0
CVRK01000190.1	1	1	0	0	0	0
CVRK01000191.1	0	0	0	0	0	0
CVRK01000192.1	10	7	9	4	8	9
CVRK01000193.1	8	10	8	9	9	4
CVRK01000194.1	1067	1037	211	202	63	59
CVRK01000195.1	6	6	9	1	3	3
CVRK01000196.1	19	17	2	6	1	2
CVRK01000197.1	0	0	0	0	1	1
CVRK01000198.1	0	1	0	0	0	0
CVRK01000199.1	706	681	1077	1035	741	718
CVRK01000200.1	1	1	0	0	0	0
CVRK01000201.1	21	18	0	2	0	0
CVRK01000202.1	0	0	0	0	0	0
CVRK01000203.1	18	15	82	74	1	3
CVRK01000204.1	0	0	0	0	0	0
CVRK01000205.1	547	535	385	374	338	324
CVRK01000206.1	0	0	0	0	0	0
CVRK01000207.1	0	0	0	0	0	0
CVRK01000208.1	144	142	77	74	35	35
CVRK01000209.1	10	7	2	3	0	0
CVRK01000210.1	18	28	4	8	12	12
CVRK01000211.1	0	0	0	0	0	0
CVRK01000212.1	1	1	0	0	0	0
CVRK01000213.1	2	0	0	0	0	0
CVRK01000214.1	22	15	19	15	11	8
CVRK01000215.1	236	245	55	52	37	33
CVRK01000216.1	461	459	152	141	85	97
CVRK01000217.1	38	32	9	11	0	0
CVRK01000218.1	9	10	9	7	8	7
CVRK01000219.1	412	406	62	58	20	23
CVRK01000220.1	3	3	1	1	0	0
CVRK01000221.1	1	1	0	0	0	0
CVRK01000222.1	133	121	216	208	156	146
CVRK01000223.1	0	0	0	1	0	0
CVRK01000224.1	1	3	1	1	0	0
CVRK01000225.1	152	163	191	189	79	74
CVRK01000226.1	1	1	0	0	0	0
CVRK01000227.1	4	5	9	8	21	18
CVRK01000228.1	0	0	1	2	0	0
CVRK01000229.1	0	0	8	8	0	0
CVRK01000230.1	76	76	401	416	184	190
CVRK01000231.1	0	0	0	0	0	0
CVRK01000232.1	0	0	0	0	1	0
CVRK01000233.1	9	8	27	31	17	16
CVRK01000234.1	19	22	47	49	4	2
CVRK01000235.1	0	0	0	0	0	0
CVRK01000236.1	6	4	4	1	2	1
CVRK01000237.1	43	32	21	26	17	13
CVRK01000238.1	16	16	28	23	6	8
CVRK01000239.1	5	3	1	1	0	0
CVRK01000240.1	0	0	0	0	0	0
CVRK01000241.1	9	13	3	5	3	1
CVRK01000242.1	91	84	41	36	9	10
CVRK01000243.1	2	4	14	12	6	9
CVRK01000244.1	4	5	3	3	1	2
CVRK01000245.1	46	47	26	23	20	15
CVRK01000246.1	146	141	44	43	21	21
CVRK01000247.1	6	3	0	0	0	0
CVRK01000248.1	20	19	22	22	0	0
CVRK01000249.1	8	13	1	2	1	1
CVRK01000250.1	1	2	0	0	0	0
CVRK01000251.1	2	0	0	0	0	0
CVRK01000252.1	1	1	0	0	0	0
CVRK01000253.1	1	0	2	0	0	0
CVRK01000254.1	30	30	20	17	8	9
CVRK01000255.1	6	7	2	2	0	0
CVRK01000256.1	1	1	0	0	0	0
CVRK01000257.1	0	0	0	0	0	0
CVRK01000258.1	2	1	0	0	0	0
CVRK01000259.1	160	157	82	79	59	60
CVRK01000260.1	111	100	122	110	162	137
CVRK01000261.1	127	107	467	478	456	397
CVRK01000262.1	292	294	263	264	209	221
CVRK01000263.1	0	0	0	0	0	0
CVRK01000264.1	20	30	9	11	0	1
CVRK01000266.1	4	4	0	0	0	0
CVRK01000267.1	15	14	6	6	0	0
CVRK01000268.1	9	8	2	3	1	0
CVRK01000269.1	17	14	0	0	0	0
CVRK01000270.1	226	209	110	110	37	38
CVRK01000271.1	92	90	83	70	65	57
CVRK01000272.1	0	0	0	0	1	1
CVRK01000273.1	3	5	3	3	0	0
CVRK01000274.1	21	28	13	13	3	2
CVRK01000275.1	11	13	54	45	5	3
CVRK01000276.1	47	47	20	21	20	23
CVRK01000277.1	10	8	8	2	5	5
CVRK01000278.1	9	6	2	1	1	1
CVRK01000281.1	0	0	0	0	0	0
CVRK01000282.1	50	55	51	51	7	6
CVRK01000283.1	18	11	13	13	12	9
CVRK01000284.1	8	6	0	0	0	0
CVRK01000285.1	0	0	0	0	0	0
CVRK01000286.1	13	17	2	3	56	53
CVRK01000287.1	1	1	8	11	0	1
CVRK01000288.1	3363	3253	248	236	152	149
CVRK01000289.1	1	1	0	0	1	1
CVRK01000290.1	18	14	15	18	2	2
CVRK01000291.1	2	3	0	1	5	0
CVRK01000292.1	283	275	22	21	5	6
CVRK01000293.1	0	0	0	0	0	0
CVRK01000294.1	94	106	59	66	12	16
