GENE	G_arboreum%G_a_1	G_arboreum%G_a_2	G_hirsutum_TX2094%allo_1	G_hirsutum_TX2094%allo_2	G_raimondii%G_r_1	G_raimondii%G_r_2
lcl|NC_030664.1_cds_XP_017623911.1_49	126	67	111	155	92	92
lcl|NC_030664.1_cds_XP_017629506.1_50	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017604989.1_51	305	222	247	148	110	118
lcl|NC_030664.1_cds_XP_017629515.1_53	1	0	2	2	5	5
lcl|NC_030664.1_cds_XP_017647739.1_54	0	0	1	1	1	5
lcl|NC_030664.1_cds_XP_017615031.1_55	719	606	170	188	283	125
lcl|NC_030664.1_cds_XP_017609302.1_56	612	527	156	174	227	115
lcl|NC_030664.1_cds_XP_017604177.1_58	173	105	162	201	181	113
lcl|NC_030664.1_cds_XP_017629147.1_59	68	53	99	88	122	91
lcl|NC_030664.1_cds_XP_017643214.1_61	42	34	63	54	46	13
lcl|NC_030664.1_cds_XP_017647972.1_64	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017642677.1_65	42	27	3	11	6	5
lcl|NC_030664.1_cds_XP_017641346.1_74	32	16	0	1	10	3
lcl|NC_030664.1_cds_XP_017629313.1_75	113	40	26	29	30	22
lcl|NC_030664.1_cds_XP_017629318.1_76	158	88	3	3	10	9
lcl|NC_030664.1_cds_XP_017645449.1_77	9	2	1	2	2	3
lcl|NC_030664.1_cds_XP_017629265.1_78	103	74	69	59	61	45
lcl|NC_030664.1_cds_XP_017641045.1_79	195	58	116	128	280	182
lcl|NC_030664.1_cds_XP_017629547.1_80	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644642.1_81	0	0	1	0	4	1
lcl|NC_030664.1_cds_XP_017622273.1_82	235	168	183	236	175	111
lcl|NC_030664.1_cds_XP_017623586.1_83	106	65	2	9	41	38
lcl|NC_030664.1_cds_XP_017623579.1_84	156	75	8	11	89	62
lcl|NC_030664.1_cds_XP_017609450.1_85	51	26	26	34	21	11
lcl|NC_030664.1_cds_XP_017609321.1_87	2	0	1	1	0	1
lcl|NC_030664.1_cds_XP_017643917.1_89	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017624193.1_90	6	2	20	8	36	16
lcl|NC_030664.1_cds_XP_017614420.1_91	296	178	170	93	201	104
lcl|NC_030664.1_cds_XP_017648089.1_92	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645196.1_93	351	183	280	370	444	280
lcl|NC_030664.1_cds_XP_017629577.1_94	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643759.1_95	62	27	42	53	47	31
lcl|NC_030664.1_cds_XP_017624768.1_97	151	84	184	167	182	109
lcl|NC_030664.1_cds_XP_017627812.1_99	13	12	18	25	20	13
lcl|NC_030664.1_cds_XP_017618340.1_100	154	95	118	180	114	75
lcl|NC_030664.1_cds_XP_017629588.1_101	1	0	0	1	1	0
lcl|NC_030664.1_cds_XP_017605987.1_102	163	90	334	565	425	305
lcl|NC_030664.1_cds_XP_017631512.1_103	106	59	100	213	133	104
lcl|NC_030664.1_cds_XP_017625327.1_104	127	101	139	138	108	92
lcl|NC_030664.1_cds_XP_017639784.1_106	0	0	0	1	2	0
lcl|NC_030664.1_cds_XP_017642497.1_107	36	25	20	22	15	8
lcl|NC_030664.1_cds_XP_017649736.1_108	291	184	335	415	397	226
lcl|NC_030664.1_cds_XP_017629337.1_109	215	84	121	108	198	167
lcl|NC_030664.1_cds_XP_017642460.1_111	18	14	26	27	44	17
lcl|NC_030664.1_cds_XP_017606058.1_112	60	38	37	20	60	39
lcl|NC_030664.1_cds_XP_017606065.1_113	40	25	40	28	18	12
lcl|NC_030664.1_cds_XP_017629610.1_114	15	11	17	14	8	2
lcl|NC_030664.1_cds_XP_017629620.1_115	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017609008.1_116	179	162	200	125	241	194
lcl|NC_030664.1_cds_XP_017627276.1_117	85	54	174	129	267	213
lcl|NC_030664.1_cds_XP_017623751.1_118	185	117	105	164	128	96
lcl|NC_030664.1_cds_XP_017629630.1_119	3	1	2	2	3	2
lcl|NC_030664.1_cds_XP_017618852.1_120	81	43	53	62	86	53
lcl|NC_030664.1_cds_XP_017647732.1_122	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629649.1_123	6	6	29	18	6	9
lcl|NC_030664.1_cds_XP_017638339.1_124	283	160	204	242	301	171
lcl|NC_030664.1_cds_XP_017644551.1_125	493	338	412	429	174	106
lcl|NC_030664.1_cds_XP_017625745.1_126	0	4	16	21	0	1
lcl|NC_030664.1_cds_XP_017625087.1_127	111	75	94	229	130	120
lcl|NC_030664.1_cds_XP_017629660.1_128	4	1	9	16	9	4
lcl|NC_030664.1_cds_XP_017617121.1_129	99	58	88	90	61	26
lcl|NC_030664.1_cds_XP_017622717.1_130	28	15	34	38	38	40
lcl|NC_030664.1_cds_XP_017643343.1_132	16	8	18	27	24	16
lcl|NC_030664.1_cds_XP_017608271.1_135	283	211	365	309	303	161
lcl|NC_030664.1_cds_XP_017612113.1_136	80	50	76	68	83	68
lcl|NC_030664.1_cds_XP_017642841.1_139	32	17	35	44	52	34
