GENE	G_arboreum%G_a_1	G_arboreum%G_a_2	G_hirsutum_TX2094%allo_1	G_hirsutum_TX2094%allo_2	G_raimondii%G_r_1	G_raimondii%G_r_2
lcl|NC_030664.1_cds_XP_017642119.1_3746	26	12	29	26	16	13
lcl|NC_030664.1_cds_XP_017628380.1_3748	53	47	28	20	20	12
lcl|NC_030664.1_cds_XP_017622482.1_3750	27	12	118	97	14	8
lcl|NC_030664.1_cds_XP_017629357.1_3751	15	8	3	4	2	4
lcl|NC_030664.1_cds_XP_017641484.1_3752	32	20	27	56	46	19
lcl|NC_030664.1_cds_XP_017628693.1_3753	11	5	2	1	6	1
lcl|NC_030664.1_cds_XP_017628438.1_3754	55	22	35	32	49	32
lcl|NC_030664.1_cds_XP_017624166.1_3755	73	45	49	35	79	66
lcl|NC_030664.1_cds_XP_017614707.1_3757	98	79	62	32	76	51
lcl|NC_030664.1_cds_XP_017632109.1_3759	113	68	114	96	217	164
lcl|NC_030664.1_cds_XP_017638038.1_3760	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017641153.1_3761	489	296	277	311	304	214
lcl|NC_030664.1_cds_XP_017608607.1_3762	457	223	439	482	292	157
lcl|NC_030664.1_cds_XP_017626810.1_3764	18	18	33	23	48	26
lcl|NC_030664.1_cds_XP_017646086.1_3765	6	8	6	6	13	6
lcl|NC_030664.1_cds_XP_017622160.1_3766	44	30	48	22	49	25
lcl|NC_030664.1_cds_XP_017622909.1_3767	34	31	75	45	56	31
lcl|NC_030664.1_cds_XP_017638051.1_3768	183	124	261	273	407	211
lcl|NC_030664.1_cds_XP_017642789.1_3769	27	16	19	10	12	6
lcl|NC_030664.1_cds_XP_017641142.1_3770	1	1	0	2	0	0
lcl|NC_030664.1_cds_XP_017625291.1_3771	23	33	29	26	47	22
lcl|NC_030664.1_cds_XP_017623879.1_3772	22	18	2	0	0	0
lcl|NC_030664.1_cds_XP_017638063.1_3773	0	0	0	2	0	0
lcl|NC_030664.1_cds_XP_017638076.1_3774	0	0	2	6	0	0
lcl|NC_030664.1_cds_XP_017622003.1_3775	72	35	61	70	202	121
lcl|NC_030664.1_cds_XP_017638089.1_3777	36	23	1	0	2	1
lcl|NC_030664.1_cds_XP_017638101.1_3778	0	0	1	1	3	2
lcl|NC_030664.1_cds_XP_017647096.1_3779	0	0	12	20	3	1
lcl|NC_030664.1_cds_XP_017638135.1_3780	0	1	13	3	0	0
lcl|NC_030664.1_cds_XP_017646899.1_3781	2	0	0	1	0	0
lcl|NC_030664.1_cds_XP_017638173.1_3782	4	2	0	0	0	1
lcl|NC_030664.1_cds_XP_017611234.1_3783	140	60	207	139	150	120
lcl|NC_030664.1_cds_XP_017642920.1_3784	27	22	27	26	8	10
lcl|NC_030664.1_cds_XP_017614367.1_3785	80	41	45	45	55	24
lcl|NC_030664.1_cds_XP_017614354.1_3786	30	24	109	80	65	41
lcl|NC_030664.1_cds_XP_017625479.1_3787	168	96	103	175	430	265
lcl|NC_030664.1_cds_XP_017634650.1_3788	351	176	199	264	333	339
lcl|NC_030664.1_cds_XP_017611133.1_3789	190	128	160	160	212	131
lcl|NC_030664.1_cds_XP_017644423.1_3790	7	2	3	4	0	0
lcl|NC_030664.1_cds_XP_017605414.1_3792	230	152	181	122	159	171
lcl|NC_030664.1_cds_XP_017622465.1_3797	13	12	36	15	69	50
lcl|NC_030664.1_cds_XP_017628343.1_3799	111	80	69	61	24	12
lcl|NC_030664.1_cds_XP_017639638.1_3802	308	241	87	103	138	65
lcl|NC_030664.1_cds_XP_017644100.1_3803	13	8	2	6	28	18
lcl|NC_030664.1_cds_XP_017613820.1_3804	274	127	242	184	333	208
lcl|NC_030664.1_cds_XP_017624294.1_3805	274	208	310	224	174	82
lcl|NC_030664.1_cds_XP_017644792.1_3806	60	32	37	28	78	35
lcl|NC_030664.1_cds_XP_017647591.1_3807	293	172	200	237	144	100
lcl|NC_030664.1_cds_XP_017627087.1_3810	137	87	121	186	105	85
lcl|NC_030664.1_cds_XP_017644304.1_3811	1	0	1	0	0	0
lcl|NC_030664.1_cds_XP_017606154.1_3812	256	122	152	189	150	109
lcl|NC_030664.1_cds_XP_017606174.1_3814	52	36	91	78	74	32
lcl|NC_030664.1_cds_XP_017644895.1_3816	4	0	9	0	5	7
lcl|NC_030664.1_cds_XP_017638182.1_3817	8	0	1	0	1	1
lcl|NC_030664.1_cds_XP_017638195.1_3818	1	0	0	0	0	2
lcl|NC_030664.1_cds_XP_017647473.1_3819	1	3	1	1	0	0
lcl|NC_030664.1_cds_XP_017638207.1_3820	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607915.1_3821	277	165	245	166	291	207
lcl|NC_030664.1_cds_XP_017643802.1_3822	14	8	15	4	14	3
lcl|NC_030664.1_cds_XP_017646061.1_3823	0	1	0	0	0	0
lcl|NC_030664.1_cds_XP_017640363.1_3824	13	4	18	16	28	25
lcl|NC_030664.1_cds_XP_017625490.1_3825	47	26	33	50	14	14
lcl|NC_030664.1_cds_XP_017625316.1_3829	35	20	10	17	62	37
lcl|NC_030664.1_cds_XP_017648383.1_3830	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623365.1_3831	50	32	23	38	19	22
lcl|NC_030664.1_cds_XP_017627800.1_3832	31	9	38	29	37	27
lcl|NC_030664.1_cds_XP_017627793.1_3833	17	14	38	23	36	21
lcl|NC_030664.1_cds_XP_017642016.1_3834	4	1	0	0	0	0
lcl|NC_030664.1_cds_XP_017642005.1_3835	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647828.1_3836	1	0	0	1	0	0
lcl|NC_030664.1_cds_XP_017621935.1_3837	139	82	127	167	174	141
lcl|NC_030664.1_cds_XP_017624297.1_3839	117	81	130	146	113	72
lcl|NC_030664.1_cds_XP_017639584.1_3840	195	114	106	55	206	100
lcl|NC_030664.1_cds_XP_017646854.1_3841	4	0	6	7	1	3
lcl|NC_030664.1_cds_XP_017640194.1_3842	2	3	2	2	0	2
lcl|NC_030664.1_cds_XP_017623211.1_3843	17	17	8	12	22	15
lcl|NC_030664.1_cds_XP_017638260.1_3844	58	35	51	45	54	48
lcl|NC_030664.1_cds_XP_017605652.1_3845	5392	3447	4040	4063	4780	3611
lcl|NC_030664.1_cds_XP_017614822.1_3846	252	148	183	183	180	169
lcl|NC_030664.1_cds_XP_017647951.1_3848	1	1	0	2	8	3
lcl|NC_030664.1_cds_XP_017622090.1_3849	146	87	87	124	72	51
lcl|NC_030664.1_cds_XP_017626823.1_3850	16	6	31	30	31	22
lcl|NC_030664.1_cds_XP_017625016.1_3851	122	87	120	107	76	79
lcl|NC_030664.1_cds_XP_017626485.1_3854	68	49	56	64	61	45
lcl|NC_030664.1_cds_XP_017623464.1_3857	161	86	122	150	145	75
lcl|NC_030664.1_cds_XP_017605314.1_3858	46	26	16	27	43	23
lcl|NC_030664.1_cds_XP_017605280.1_3861	120	86	158	149	159	115
lcl|NC_030664.1_cds_XP_017642724.1_3863	120	90	86	111	76	65
lcl|NC_030664.1_cds_XP_017609263.1_3864	96	66	119	120	87	65
lcl|NC_030664.1_cds_XP_017618944.1_3865	29	9	9	22	52	38
lcl|NC_030664.1_cds_XP_017621039.1_3867	23	13	44	19	4	6
lcl|NC_030664.1_cds_XP_017638285.1_3869	16	10	7	3	0	0
lcl|NC_030664.1_cds_XP_017611204.1_3870	442	268	506	342	487	290
lcl|NC_030664.1_cds_XP_017613942.1_3872	56	17	21	20	21	20
lcl|NC_030664.1_cds_XP_017613949.1_3873	9	11	2	5	0	1
lcl|NC_030664.1_cds_XP_017628924.1_3874	106	48	79	84	125	76
lcl|NC_030664.1_cds_XP_017606544.1_3875	458	267	335	431	368	306
lcl|NC_030664.1_cds_XP_017648202.1_3877	120	89	26	38	41	25
lcl|NC_030664.1_cds_XP_017610518.1_3879	179	129	169	153	143	124
lcl|NC_030664.1_cds_XP_017605029.1_3880	40	17	41	48	15	14
lcl|NC_030664.1_cds_XP_017605075.1_3886	33	25	39	33	9	7
lcl|NC_030664.1_cds_XP_017612227.1_3887	280	144	122	111	194	136
lcl|NC_030664.1_cds_XP_017645207.1_3888	4	2	0	2	2	2
lcl|NC_030664.1_cds_XP_017622552.1_3889	74	48	75	85	60	47
lcl|NC_030664.1_cds_XP_017627602.1_3890	49	25	71	87	87	50
lcl|NC_030664.1_cds_XP_017642830.1_3892	0	0	4	4	1	0
lcl|NC_030664.1_cds_XP_017611775.1_3893	79	41	48	46	60	42
lcl|NC_030664.1_cds_XP_017611807.1_3897	63	45	31	43	44	33
lcl|NC_030664.1_cds_XP_017604118.1_3901	251	133	221	196	254	143
lcl|NC_030664.1_cds_XP_017604099.1_3905	152	86	100	138	93	39
lcl|NC_030664.1_cds_XP_017613615.1_3909	24	16	18	8	23	7
lcl|NC_030664.1_cds_XP_017613637.1_3910	44	31	47	39	32	20
lcl|NC_030664.1_cds_XP_017613622.1_3912	36	21	36	35	26	13
lcl|NC_030664.1_cds_XP_017638310.1_3913	1	0	1	1	0	0
lcl|NC_030664.1_cds_XP_017608938.1_3914	254	205	282	139	254	170
lcl|NC_030664.1_cds_XP_017611298.1_3916	41	10	7	15	13	9
lcl|NC_030664.1_cds_XP_017623497.1_3919	106	73	74	40	103	29
lcl|NC_030664.1_cds_XP_017650164.1_3921	267	153	171	157	378	247
lcl|NC_030664.1_cds_XP_017638331.1_3923	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017649716.1_3924	181	84	185	194	318	216
lcl|NC_030664.1_cds_XP_017649723.1_3925	120	71	145	160	295	158
lcl|NC_030664.1_cds_XP_017649737.1_3926	1	0	193	138	0	0
lcl|NC_030664.1_cds_XP_017649778.1_3927	0	0	5	5	0	0
lcl|NC_030664.1_cds_XP_017649766.1_3928	45	18	29	25	33	31
lcl|NC_030664.1_cds_XP_017649746.1_3929	19	7	78	95	95	78
lcl|NC_030664.1_cds_XP_017622171.1_3931	14	10	13	22	25	16
lcl|NC_030664.1_cds_XP_017622166.1_3932	11	15	27	20	28	22
lcl|NC_030664.1_cds_XP_017603558.1_3933	423	271	502	287	434	469
lcl|NC_030664.1_cds_XP_017640245.1_3935	98	61	52	82	115	57
lcl|NC_030664.1_cds_XP_017623210.1_3936	362	219	499	611	273	214
lcl|NC_030664.1_cds_XP_017607301.1_3937	149	92	163	170	151	135
lcl|NC_030664.1_cds_XP_017607281.1_3939	66	27	48	43	75	55
lcl|NC_030664.1_cds_XP_017607862.1_3942	169	95	98	112	182	117
lcl|NC_030664.1_cds_XP_017629962.1_3944	639	470	526	774	501	304
lcl|NC_030664.1_cds_XP_017623764.1_3946	12	9	29	57	3	2
lcl|NC_030664.1_cds_XP_017643240.1_3948	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017609604.1_3949	462	324	279	274	341	190
lcl|NC_030664.1_cds_XP_017647804.1_3951	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017638424.1_3952	78	48	2	0	2	0
lcl|NC_030664.1_cds_XP_017638425.1_3953	0	0	0	0	2	1
lcl|NC_030664.1_cds_XP_017639183.1_3954	6	7	6	13	0	3
lcl|NC_030664.1_cds_XP_017638428.1_3955	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607594.1_3956	442	340	414	530	363	223
lcl|NC_030664.1_cds_XP_017607580.1_3957	45	30	29	34	26	17
lcl|NC_030664.1_cds_XP_017646535.1_3958	5	1	2	2	10	11
lcl|NC_030664.1_cds_XP_017614214.1_3959	22	24	30	21	46	21
lcl|NC_030664.1_cds_XP_017614203.1_3960	45	22	30	27	77	36
lcl|NC_030664.1_cds_XP_017641368.1_3961	5	2	4	10	10	7
lcl|NC_030664.1_cds_XP_017641363.1_3962	4	2	13	9	14	9
lcl|NC_030664.1_cds_XP_017610124.1_3963	27	23	37	33	31	24
lcl|NC_030664.1_cds_XP_017610133.1_3964	2381	1306	1290	1332	2858	1566
lcl|NC_030664.1_cds_XP_017623014.1_3965	110	38	55	74	76	56
lcl|NC_030664.1_cds_XP_017639230.1_3973	183	151	492	567	177	154
lcl|NC_030664.1_cds_XP_017624082.1_3974	182	111	73	110	133	87
lcl|NC_030664.1_cds_XP_017640989.1_3975	45	29	37	76	41	33
lcl|NC_030664.1_cds_XP_017622454.1_3976	697	555	469	551	342	218
lcl|NC_030664.1_cds_XP_017646910.1_3977	6	1	22	20	2	2
lcl|NC_030664.1_cds_XP_017644184.1_3978	3	3	5	0	9	4
lcl|NC_030664.1_cds_XP_017612934.1_3979	129	94	89	64	84	86
lcl|NC_030664.1_cds_XP_017647592.1_3981	5	3	1	0	0	0
lcl|NC_030664.1_cds_XP_017610542.1_3982	153	78	45	28	52	39
lcl|NC_030664.1_cds_XP_017625796.1_3983	877	602	909	781	417	189
lcl|NC_030664.1_cds_XP_017627922.1_3984	14	8	2	5	2	4
lcl|NC_030664.1_cds_XP_017640072.1_3985	134	92	43	57	20	24
lcl|NC_030664.1_cds_XP_017624744.1_3986	34	35	29	34	68	49
lcl|NC_030664.1_cds_XP_017629793.1_3988	42	30	46	51	37	38
lcl|NC_030664.1_cds_XP_017628948.1_3989	28	18	26	26	30	22
lcl|NC_030664.1_cds_XP_017611927.1_3990	792	374	461	545	769	562
lcl|NC_030664.1_cds_XP_017638445.1_3991	1	2	0	0	0	0
lcl|NC_030664.1_cds_XP_017612879.1_3993	165	84	104	193	88	71
lcl|NC_030664.1_cds_XP_017638473.1_3994	8	0	24	19	28	16
lcl|NC_030664.1_cds_XP_017613848.1_3995	147	74	80	82	126	82
lcl|NC_030664.1_cds_XP_017642407.1_3996	118	91	86	110	126	83
lcl|NC_030664.1_cds_XP_017615008.1_3997	4	2	6	15	11	3
lcl|NC_030664.1_cds_XP_017615003.1_3998	5	3	11	19	16	6
lcl|NC_030664.1_cds_XP_017615017.1_3999	94	75	88	88	95	49
lcl|NC_030664.1_cds_XP_017647420.1_4001	1363	921	1095	1140	1642	854
lcl|NC_030664.1_cds_XP_017647430.1_4002	132	70	111	127	58	38
lcl|NC_030664.1_cds_XP_017647440.1_4003	1443	989	601	423	1583	985
lcl|NC_030664.1_cds_XP_017628567.1_4004	8	13	44	37	33	24
lcl|NC_030664.1_cds_XP_017628574.1_4005	12	9	27	28	18	18
lcl|NC_030664.1_cds_XP_017646499.1_4006	2	1	7	4	4	1
lcl|NC_030664.1_cds_XP_017639648.1_4007	19	8	15	5	24	20
lcl|NC_030664.1_cds_XP_017622247.1_4008	30	17	38	45	24	15
lcl|NC_030664.1_cds_XP_017612790.1_4009	78	53	87	102	100	53
lcl|NC_030664.1_cds_XP_017640425.1_4011	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017641402.1_4013	101	61	88	97	89	95
lcl|NC_030664.1_cds_XP_017640692.1_4015	0	0	14	7	24	9
lcl|NC_030664.1_cds_XP_017648082.1_4016	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017627789.1_4017	514	340	698	723	210	147
lcl|NC_030664.1_cds_XP_017627898.1_4018	6	8	20	34	5	4
lcl|NC_030664.1_cds_XP_017625039.1_4019	96	70	62	54	143	77
lcl|NC_030664.1_cds_XP_017649094.1_4021	118	80	123	82	99	77
lcl|NC_030664.1_cds_XP_017638504.1_4022	0	0	2	1	0	0
lcl|NC_030664.1_cds_XP_017626701.1_4023	114	92	106	116	132	74
lcl|NC_030664.1_cds_XP_017615714.1_4024	541	314	312	383	250	153
lcl|NC_030664.1_cds_XP_017642242.1_4025	0	2	0	0	0	0
lcl|NC_030664.1_cds_XP_017607677.1_4026	210	133	145	84	111	107
lcl|NC_030664.1_cds_XP_017640230.1_4030	44	31	50	33	77	26
lcl|NC_030664.1_cds_XP_017627004.1_4032	15	7	14	11	16	10
lcl|NC_030664.1_cds_XP_017628927.1_4033	3	2	0	0	2	0
lcl|NC_030664.1_cds_XP_017605841.1_4034	198	129	253	291	204	187
lcl|NC_030664.1_cds_XP_017605820.1_4037	35	12	63	54	12	2
lcl|NC_030664.1_cds_XP_017610926.1_4038	634	422	584	585	732	523
lcl|NC_030664.1_cds_XP_017644717.1_4039	48	22	34	31	12	10
lcl|NC_030664.1_cds_XP_017627724.1_4040	13	12	25	38	36	25
lcl|NC_030664.1_cds_XP_017644134.1_4043	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017609062.1_4044	141	71	67	114	161	120
lcl|NC_030664.1_cds_XP_017609050.1_4045	9	4	4	3	1	1
lcl|NC_030664.1_cds_XP_017609020.1_4046	154	87	218	226	281	208
lcl|NC_030664.1_cds_XP_017609072.1_4049	3008	1717	1853	2475	3254	1951
lcl|NC_030664.1_cds_XP_017604501.1_4050	691	378	671	544	532	438
lcl|NC_030664.1_cds_XP_017643533.1_4052	454	362	7	2	935	492
lcl|NC_030664.1_cds_XP_017605124.1_4053	394	276	283	249	370	264
lcl|NC_030664.1_cds_XP_017638517.1_4054	1	1	2	0	0	0
lcl|NC_030664.1_cds_XP_017644007.1_4055	0	1	3	6	0	3
lcl|NC_030664.1_cds_XP_017644601.1_4058	3	1	1	1	0	0
lcl|NC_030664.1_cds_XP_017613438.1_4059	2	2	12	12	4	1
lcl|NC_030664.1_cds_XP_017613526.1_4061	4	3	5	5	4	5
lcl|NC_030664.1_cds_XP_017613480.1_4063	5	2	0	7	5	9
lcl|NC_030664.1_cds_XP_017609500.1_4064	101	82	124	102	149	80
lcl|NC_030664.1_cds_XP_017609119.1_4066	490	333	524	670	315	217
lcl|NC_030664.1_cds_XP_017638529.1_4067	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640331.1_4068	199	75	202	335	232	169
lcl|NC_030664.1_cds_XP_017641867.1_4070	10	6	3	3	3	4
lcl|NC_030664.1_cds_XP_017638541.1_4071	1	1	0	0	0	0
lcl|NC_030664.1_cds_XP_017646830.1_4072	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017611454.1_4073	87	52	48	55	172	149
lcl|NC_030664.1_cds_XP_017609709.1_4074	9	5	3	6	2	0
lcl|NC_030664.1_cds_XP_017609719.1_4075	803	496	609	491	545	335
lcl|NC_030664.1_cds_XP_017638562.1_4077	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017649332.1_4078	164	84	222	121	166	149
lcl|NC_030664.1_cds_XP_017649376.1_4080	152	95	234	96	158	145
lcl|NC_030664.1_cds_XP_017649388.1_4084	22	20	24	28	48	19
lcl|NC_030664.1_cds_XP_017612138.1_4085	28	18	12	3	24	21
lcl|NC_030664.1_cds_XP_017612137.1_4086	38	9	13	14	32	22
lcl|NC_030664.1_cds_XP_017627841.1_4087	120	73	73	85	181	95
lcl|NC_030664.1_cds_XP_017625219.1_4088	121	96	133	109	111	59
lcl|NC_030664.1_cds_XP_017625029.1_4089	260	163	227	228	192	143
lcl|NC_030664.1_cds_XP_017611287.1_4092	28	21	30	56	35	33
lcl|NC_030664.1_cds_XP_017611278.1_4093	44	23	44	56	36	22
lcl|NC_030664.1_cds_XP_017611272.1_4094	30	33	33	31	35	21
lcl|NC_030664.1_cds_XP_017611247.1_4095	39	17	43	42	38	32
lcl|NC_030664.1_cds_XP_017648937.1_4097	263	192	237	216	194	125
lcl|NC_030664.1_cds_XP_017644406.1_4098	3	2	4	8	1	2
lcl|NC_030664.1_cds_XP_017650116.1_4102	205	157	241	222	248	177
lcl|NC_030664.1_cds_XP_017650130.1_4103	15	7	13	15	19	9
lcl|NC_030664.1_cds_XP_017650143.1_4104	91	41	74	136	59	60
lcl|NC_030664.1_cds_XP_017638574.1_4105	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017626993.1_4106	21	20	33	26	53	24
lcl|NC_030664.1_cds_XP_017628505.1_4107	55	31	11	8	43	26
lcl|NC_030664.1_cds_XP_017623868.1_4108	402	320	273	274	240	201
lcl|NC_030664.1_cds_XP_017638596.1_4109	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644728.1_4111	3	2	14	18	5	5
lcl|NC_030664.1_cds_XP_017644736.1_4112	2	3	20	15	11	4
lcl|NC_030664.1_cds_XP_017638617.1_4113	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017650096.1_4115	217	111	218	225	237	215
lcl|NC_030664.1_cds_XP_017650066.1_4116	126	86	132	111	128	93
lcl|NC_030664.1_cds_XP_017650075.1_4117	132	70	105	108	91	70
lcl|NC_030664.1_cds_XP_017607055.1_4119	193	117	272	214	251	206
lcl|NC_030664.1_cds_XP_017640280.1_4120	15	13	19	20	19	11
lcl|NC_030664.1_cds_XP_017638629.1_4121	1	1	1	2	0	0
lcl|NC_030664.1_cds_XP_017613221.1_4122	97	73	95	76	40	8
lcl|NC_030664.1_cds_XP_017627575.1_4123	10	4	2	2	2	0
lcl|NC_030664.1_cds_XP_017638639.1_4124	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017638650.1_4125	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017638673.1_4126	10	9	8	9	1	0
lcl|NC_030664.1_cds_XP_017638686.1_4127	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017610611.1_4129	36	16	22	20	17	12
lcl|NC_030664.1_cds_XP_017610620.1_4130	6705	3587	4660	4589	9236	6246
lcl|NC_030664.1_cds_XP_017612158.1_4131	82	59	57	96	60	38
lcl|NC_030664.1_cds_XP_017647451.1_4135	2	0	1	1	7	5
lcl|NC_030664.1_cds_XP_017612977.1_4136	246	202	184	199	184	133
lcl|NC_030664.1_cds_XP_017610093.1_4137	207	170	323	234	270	72
lcl|NC_030664.1_cds_XP_017647691.1_4139	1	1	2	1	0	1
lcl|NC_030664.1_cds_XP_017638697.1_4140	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629344.1_4141	183	132	140	180	198	105
lcl|NC_030664.1_cds_XP_017609531.1_4142	177	72	170	150	89	59
lcl|NC_030664.1_cds_XP_017609587.1_4143	132	56	151	129	72	54
lcl|NC_030664.1_cds_XP_017623182.1_4144	88	49	95	127	115	94
lcl|NC_030664.1_cds_XP_017647726.1_4147	4	1	6	5	1	3
lcl|NC_030664.1_cds_XP_017638719.1_4148	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017638732.1_4149	8	8	0	1	0	0
lcl|NC_030664.1_cds_XP_017640464.1_4150	145	63	17	17	1	0
lcl|NC_030664.1_cds_XP_017623816.1_4151	672	456	426	335	248	259
lcl|NC_030664.1_cds_XP_017625908.1_4152	115	80	121	115	87	55
lcl|NC_030664.1_cds_XP_017622327.1_4155	66	30	31	46	10	7
lcl|NC_030664.1_cds_XP_017622320.1_4157	27	13	29	40	6	3
lcl|NC_030664.1_cds_XP_017647118.1_4158	3	8	8	2	4	3
lcl|NC_030664.1_cds_XP_017645687.1_4159	0	0	0	0	0	1
lcl|NC_030664.1_cds_XP_017625209.1_4160	680	403	584	662	543	429
lcl|NC_030664.1_cds_XP_017638744.1_4161	0	0	3	11	0	0
lcl|NC_030665.1_cds_XP_017620916.1_4162	10	6	0	0	0	1
lcl|NC_030665.1_cds_XP_017620924.1_4163	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017620936.1_4164	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017620942.1_4165	24	25	19	16	17	22
lcl|NC_030665.1_cds_XP_017620956.1_4166	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017623042.1_4167	141	61	84	133	121	88
lcl|NC_030665.1_cds_XP_017623039.1_4168	35	26	84	71	71	39
lcl|NC_030665.1_cds_XP_017620975.1_4171	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017622452.1_4172	63	45	50	92	34	44
lcl|NC_030665.1_cds_XP_017623330.1_4173	46	20	27	31	33	26
lcl|NC_030665.1_cds_XP_017623329.1_4174	457	270	334	407	269	206
lcl|NC_030665.1_cds_XP_017621018.1_4175	1	0	0	0	1	0
lcl|NC_030665.1_cds_XP_017622472.1_4176	75	35	224	174	199	204
lcl|NC_030665.1_cds_XP_017622576.1_4177	41	17	36	62	35	38
lcl|NC_030665.1_cds_XP_017619313.1_4178	249	197	355	360	249	146
lcl|NC_030665.1_cds_XP_017621042.1_4179	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017622406.1_4180	15	30	2	3	7	8
lcl|NC_030665.1_cds_XP_017622827.1_4181	0	0	1	1	0	0
lcl|NC_030665.1_cds_XP_017622828.1_4182	883	535	986	1131	867	539
lcl|NC_030665.1_cds_XP_017623216.1_4183	102	83	81	91	88	62
lcl|NC_030665.1_cds_XP_017621054.1_4185	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017622938.1_4186	94	51	85	77	89	56
lcl|NC_030665.1_cds_XP_017622936.1_4188	30	10	19	14	29	19
lcl|NC_030665.1_cds_XP_017621254.1_4189	25	14	13	16	17	10
lcl|NC_030665.1_cds_XP_017622314.1_4190	12	5	9	7	5	13
lcl|NC_030665.1_cds_XP_017622553.1_4191	11	6	1	8	0	2
lcl|NC_030665.1_cds_XP_017623248.1_4192	213	136	217	197	153	88
lcl|NC_030665.1_cds_XP_017616242.1_4193	286	181	204	221	165	121
lcl|NC_030665.1_cds_XP_017621073.1_4194	1	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017619342.1_4195	35	6	7	5	4	1
lcl|NC_030665.1_cds_XP_017619351.1_4196	21	12	4	10	1	1
lcl|NC_030665.1_cds_XP_017623317.1_4197	215	159	261	266	184	119
lcl|NC_030665.1_cds_XP_017621089.1_4198	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017621101.1_4199	0	4	3	5	1	0
lcl|NC_030665.1_cds_XP_017622502.1_4200	32	36	5	11	1	0
lcl|NC_030665.1_cds_XP_017621120.1_4201	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017621129.1_4202	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017621152.1_4203	2	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017623065.1_4204	1229	828	805	893	1210	823
lcl|NC_030665.1_cds_XP_017622545.1_4205	673	524	536	501	584	419
lcl|NC_030665.1_cds_XP_017622963.1_4207	173	95	131	173	223	159
lcl|NC_030665.1_cds_XP_017622888.1_4208	114	86	41	30	96	59
lcl|NC_030665.1_cds_XP_017620702.1_4214	30	27	20	16	8	9
lcl|NC_030665.1_cds_XP_017622729.1_4215	146	112	255	248	141	98
lcl|NC_030665.1_cds_XP_017622731.1_4217	12	11	12	14	14	11
lcl|NC_030665.1_cds_XP_017622728.1_4218	136	80	190	179	229	160
lcl|NC_030665.1_cds_XP_017623015.1_4219	3	4	2	1	1	1
lcl|NC_030665.1_cds_XP_017623013.1_4220	0	0	0	0	0	1
lcl|NC_030665.1_cds_XP_017623016.1_4221	319	226	181	163	222	157
lcl|NC_030665.1_cds_XP_017621162.1_4222	0	0	3	7	7	1
lcl|NC_030665.1_cds_XP_017622358.1_4224	6	2	5	7	5	4
lcl|NC_030665.1_cds_XP_017622307.1_4225	13	9	7	6	8	6
lcl|NC_030665.1_cds_XP_017618294.1_4227	103	59	88	105	92	77
lcl|NC_030665.1_cds_XP_017619402.1_4235	1	0	1	3	3	2
lcl|NC_030665.1_cds_XP_017619411.1_4236	4	0	3	1	4	3
lcl|NC_030665.1_cds_XP_017621179.1_4237	1	3	0	0	0	0
lcl|NC_030665.1_cds_XP_017621189.1_4238	228	187	178	206	210	196
lcl|NC_030665.1_cds_XP_017622567.1_4239	4	0	0	0	2	2
lcl|NC_030665.1_cds_XP_017619992.1_4240	100	58	115	127	75	48
lcl|NC_030665.1_cds_XP_017621201.1_4242	0	0	0	0	3	3
lcl|NC_030665.1_cds_XP_017622476.1_4243	3	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017621206.1_4244	0	0	0	0	0	0
lcl|NC_030665.1_cds_XP_017623436.1_4245	594	247	498	494	411	288
