GENE	S_alburnoides	S_alburnoides+N	S_pyrenaicus	S_pyrenaicus+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
CVRK01000288.1	0	0	0	0	0	0	248	0
CVRK01000289.1	0	0	0	0	0	0	0	0
CVRK01000290.1	0	0	0	0	0	0	15	0
CVRK01000291.1	0	0	0	0	0	0	0	0
CVRK01000292.1	0	0	0	0	0	0	22	0
CVRK01000293.1	0	0	0	0	0	0	0	0
CVRK01000294.1	0	0	0	0	0	0	59	0
CVRK01000295.1	0	0	0	0	0	0	0	0
CVRK01000296.1	0	0	0	0	0	0	15	0
CVRK01000297.1	0	0	0	0	0	0	1	0
CVRK01000298.1	0	0	0	0	0	0	1	0
CVRK01000299.1	0	0	0	0	0	0	0	0
CVRK01000300.1	0	0	0	0	0	0	0	0
CVRK01000301.1	0	0	0	0	0	0	0	0
CVRK01000302.1	0	0	0	0	0	0	9	0
CVRK01000303.1	0	0	0	0	0	0	0	0
CVRK01000304.1	0	0	0	0	0	0	0	0
CVRK01000305.1	0	0	0	0	0	0	36	0
CVRK01000306.1	0	0	0	0	0	0	54	0
CVRK01000307.1	0	0	0	0	0	0	297	0
CVRK01000308.1	0	0	0	0	0	0	2	0
CVRK01000309.1	0	0	0	0	0	0	27	0
CVRK01000310.1	108	8	63	7	73	2	150	14
CVRK01000311.1	0	0	0	0	0	0	0	0
CVRK01000312.1	0	0	0	0	0	0	6	0
CVRK01000313.1	0	0	0	0	0	0	0	0
CVRK01000314.1	0	0	0	0	0	0	4	0
CVRK01000315.1	0	0	0	0	0	0	211	0
CVRK01000316.1	0	0	0	0	0	0	6	0
CVRK01000317.1	0	0	0	0	0	0	177	0
CVRK01000318.1	0	0	0	0	0	0	655	0
CVRK01000319.1	0	0	0	0	0	0	0	0
CVRK01000320.1	0	0	0	0	0	0	1	0
CVRK01000321.1	0	0	0	0	0	0	31	0
CVRK01000322.1	0	0	0	0	0	0	12	0
CVRK01000323.1	0	0	0	0	0	0	0	0
CVRK01000324.1	0	0	0	0	0	0	14	0
CVRK01000325.1	0	0	0	0	0	0	1	0
CVRK01000326.1	0	0	0	0	0	0	2	0
CVRK01000328.1	0	0	0	0	0	0	220	0
CVRK01000329.1	7	0	39	0	0	0	323	0
CVRK01000330.1	0	0	0	0	0	0	8	0
CVRK01000331.1	0	0	0	0	0	0	12	0
CVRK01000332.1	0	0	0	0	0	0	19	0
CVRK01000333.1	0	0	0	0	0	0	5	0
CVRK01000334.1	0	0	0	0	0	0	4	0
CVRK01000335.1	0	0	0	0	0	0	0	0
CVRK01000336.1	0	0	0	0	0	0	101	0
CVRK01000337.1	0	0	0	0	0	0	6	0
CVRK01000338.1	0	0	0	0	0	0	0	0
CVRK01000339.1	0	0	0	0	0	0	118	0
CVRK01000340.1	0	0	0	0	0	0	177	0
CVRK01000341.1	0	0	0	0	0	0	9	0
CVRK01000342.1	0	0	0	0	0	0	0	0
CVRK01000343.1	0	0	0	0	0	0	3	0
CVRK01000344.1	0	0	0	0	0	0	0	0
CVRK01000345.1	0	0	0	0	0	0	34	0
CVRK01000346.1	0	0	0	0	0	0	0	0
CVRK01000347.1	0	0	0	0	0	0	26	0
CVRK01000348.1	0	0	0	0	0	0	12	0
CVRK01000349.1	0	0	0	0	0	0	1	0
CVRK01000350.1	0	0	0	0	0	0	20	0
CVRK01000351.1	0	0	0	0	0	0	0	0
CVRK01000352.1	0	0	0	0	0	0	28	0
CVRK01000353.1	0	0	0	0	0	0	8	0
CVRK01000354.1	0	0	0	0	0	0	2	0
CVRK01000355.1	0	0	0	0	0	0	1	0
CVRK01000356.1	0	0	0	0	0	0	0	0
CVRK01000357.1	0	0	0	0	0	0	4	0
CVRK01000358.1	0	0	0	0	0	0	88	0
CVRK01000359.1	0	0	0	0	0	0	205	0
CVRK01000360.1	0	0	0	0	0	0	0	0
CVRK01000361.1	0	0	0	0	0	0	0	0
CVRK01000362.1	0	0	0	0	0	0	2	0
CVRK01000363.1	0	0	0	0	0	0	2	0
CVRK01000364.1	0	0	0	0	0	0	20	0
CVRK01000365.1	0	0	0	0	0	0	1	0
CVRK01000366.1	0	0	0	0	0	0	113	0
CVRK01000367.1	0	0	0	0	0	0	0	0
CVRK01000369.1	1490	4	732	4	1462	27	1654	0
CVRK01000370.1	0	0	0	0	0	0	1	0
CVRK01000371.1	38	0	38	1	276	2	612	7
CVRK01000372.1	0	0	0	0	0	0	49	0
CVRK01000373.1	0	0	0	0	0	0	0	0
CVRK01000374.1	9	0	6	0	7	0	284	0
CVRK01000375.1	0	0	0	0	0	0	6	0
CVRK01000377.1	0	0	0	0	0	0	2	0
CVRK01000378.1	0	0	0	0	0	0	99	0
CVRK01000379.1	0	0	0	0	0	0	0	0
CVRK01000380.1	0	0	0	0	0	0	2	0
CVRK01000381.1	0	0	0	0	0	0	2	0
CVRK01000382.1	0	0	0	0	0	0	0	0
CVRK01000383.1	0	0	0	0	0	0	0	0
CVRK01000384.1	0	0	0	0	0	0	0	0
CVRK01000385.1	0	0	0	0	0	0	80	0
CVRK01000386.1	0	0	0	0	0	0	6	0
CVRK01000387.1	0	0	0	0	0	0	0	0
CVRK01000388.1	0	0	0	0	0	0	0	0
CVRK01000389.1	0	0	0	0	0	0	8	0
CVRK01000390.1	0	0	0	0	0	0	0	0
CVRK01000391.1	19	0	5	0	0	0	84	0
CVRK01000392.1	0	0	0	0	0	0	22	0
CVRK01000393.1	0	0	0	0	0	0	7	0
CVRK01000394.1	0	0	0	0	0	0	46	0
CVRK01000395.1	0	0	0	0	0	0	15	0
CVRK01000396.1	0	0	0	0	0	0	25	0
CVRK01000398.1	0	0	0	0	0	0	3	0
